Date,Adj Close,Close,High,Low,Open,Volume
1995-01-03,3.587569236755371,3.695312976837158,3.8125,3.6875,3.75,6311200
1995-01-04,3.4889678955078125,3.59375,3.71875,3.40625,3.6875,15775200
1995-01-05,3.6254935264587402,3.734375,3.96875,3.71875,3.90625,25738400
1995-01-06,3.7013401985168457,3.8125,3.875,3.65625,3.78125,7888800
1995-01-09,3.7468478679656982,3.859375,3.90625,3.78125,3.84375,5432000
1995-01-10,3.815110921859741,3.929687976837158,3.9375,3.8125,3.875,7388000
1995-01-11,3.7620177268981934,3.875,3.96875,3.84375,3.9375,3709600
1995-01-12,3.8364675045013428,3.945312976837158,3.96875,3.875,3.875,2497600
1995-01-13,3.79848313331604,3.90625,3.96875,3.84375,3.96875,2968000
1995-01-16,3.7377068996429443,3.84375,3.9375,3.84375,3.90625,3592800
1995-01-17,3.9504215717315674,4.0625,4.125,3.84375,3.84375,17280800
1995-01-18,3.927631378173828,4.039062976837158,4.1875,4.03125,4.09375,10196800
1995-01-19,3.79848313331604,3.90625,4.046875,3.875,4.03125,5085600
1995-01-20,3.707319974899292,3.8125,3.90625,3.71875,3.875,11177600
1995-01-23,3.707319974899292,3.8125,3.8125,3.65625,3.75,7396000
1995-01-24,3.707319974899292,3.8125,3.890625,3.78125,3.875,3125600
1995-01-25,3.646543502807617,3.75,3.84375,3.65625,3.71875,13884000
1995-01-26,3.6161558628082275,3.71875,3.78125,3.6875,3.75,5008800
1995-01-27,3.646543502807617,3.75,3.8125,3.695312976837158,3.78125,3288800
1995-01-30,3.4946041107177734,3.59375,3.8125,3.59375,3.75,5348000
1995-01-31,3.51739501953125,3.617187976837158,3.71875,3.5625,3.59375,6424800
1995-02-01,3.4946041107177734,3.59375,3.71875,3.59375,3.65625,6148000
1995-02-02,3.6161558628082275,3.71875,3.75,3.625,3.625,4609600
1995-02-03,3.5401856899261475,3.640625,3.8125,3.59375,3.78125,5249600
1995-02-06,3.5705745220184326,3.671875,3.71875,3.5625,3.59375,5584800
1995-02-07,3.4946041107177734,3.59375,3.71875,3.578125,3.6875,3236800
1995-02-08,3.6161558628082275,3.71875,3.71875,3.59375,3.59375,3356000
1995-02-09,3.5249924659729004,3.625,3.78125,3.5625,3.671875,7534400
1995-02-10,3.889646291732788,4.0,4.03125,3.625,3.625,17648000
1995-02-13,3.8288707733154297,3.9375,4.09375,3.875,4.0,6169600
1995-02-14,3.889646291732788,4.0,4.09375,3.9375,3.96875,4912800
1995-02-15,3.9504215717315674,4.0625,4.09375,3.9375,4.03125,6548800
1995-02-16,4.193525791168213,4.3125,4.34375,4.09375,4.09375,20340800
1995-02-17,4.163136005401611,4.28125,4.3125,4.25,4.3125,12722400
1995-02-21,4.360658645629883,4.484375,4.5,4.25,4.25,17552000
1995-02-22,4.4062395095825195,4.53125,4.53125,4.375,4.46875,7975200
1995-02-23,4.330270290374756,4.453125,4.53125,4.375,4.5,7945600
1995-02-24,4.163136005401611,4.28125,4.445312976837158,4.25,4.4375,5149600
