Date,Adj Close,Close,High,Low,Open,Volume
1998-02-27,13.266899108886719,17.375,18.0,17.375,17.375,50000
1998-03-02,13.1714506149292,17.25,17.25,17.0,17.25,75000
1998-03-03,13.076006889343262,17.125,17.125,16.75,17.125,35000
1998-03-04,12.026108741760254,15.75,15.75,15.5,15.75,60000
1998-03-05,12.312446594238281,16.125,16.125,16.125,16.125,400
1998-03-06,12.312446594238281,16.125,16.375,16.125,16.125,3600
1998-03-09,12.121551513671875,15.875,16.5,15.875,16.125,3200
1998-03-10,12.40788459777832,16.25,16.875,15.875,15.875,56800
1998-03-11,12.40788459777832,16.25,16.5,16.125,16.25,10400
1998-03-12,12.503332138061523,16.375,16.375,16.125,16.25,3800
1998-03-13,12.598779678344727,16.5,16.5,16.5,16.5,1000
1998-03-16,12.312446594238281,16.125,16.5,16.125,16.5,7700
1998-03-17,12.121551513671875,15.875,16.125,15.75,16.125,28000
1998-03-18,12.312446594238281,16.125,16.125,15.75,15.875,45700
1998-03-19,13.076006889343262,17.125,17.375,16.0,16.125,383600
1998-03-20,13.55323600769043,17.75,17.75,17.25,17.25,275600
1998-03-23,14.412242889404297,18.875,19.0,17.375,17.75,398600
1998-03-24,15.08035945892334,19.75,19.875,18.875,18.875,261800
1998-03-25,15.175804138183594,19.875,20.125,19.5,19.75,135600
1998-03-26,14.984907150268555,19.625,19.875,19.25,19.875,26300
1998-03-27,14.698579788208008,19.25,19.75,18.375,19.625,62200
1998-03-30,15.175804138183594,19.875,19.875,19.25,19.25,49500
1998-03-31,15.366695404052734,20.125,20.25,19.875,19.875,79000
1998-04-01,15.653029441833496,20.5,20.625,20.0,20.125,150100
1998-04-02,17.752819061279297,23.25,23.375,21.75,21.75,140500
1998-04-03,18.898168563842773,24.75,26.125,21.75,23.25,458700
1998-04-06,18.325490951538086,24.0,26.0,23.0,24.75,105300
1998-04-07,16.89381217956543,22.125,24.0,22.125,24.0,152800
1998-04-08,17.180152893066406,22.5,23.0,21.0,22.125,45100
1998-04-09,17.561933517456055,23.0,23.0,22.25,22.5,151400
1998-04-13,17.275596618652344,22.625,23.25,22.375,23.0,85900
1998-04-14,17.371044158935547,22.75,23.0,22.5,22.625,322900
1998-04-15,16.607481002807617,21.75,22.875,21.5,22.75,23100
1998-04-16,16.22569465637207,21.25,21.75,20.875,21.75,55400
1998-04-17,16.51204490661621,21.625,21.625,21.0,21.25,15100
1998-04-20,16.89381217956543,22.125,22.125,21.25,21.625,92900
1998-04-21,16.89381217956543,22.125,22.125,21.75,22.125,23100
1998-04-22,17.561933517456055,23.0,23.625,22.125,22.125,60900
1998-04-23,17.94371795654297,23.5,23.5,23.0,23.0,242300
1998-04-24,16.798370361328125,22.0,23.625,22.0,23.5,100900
1998-04-27,15.939372062683105,20.875,22.5,19.875,22.0,52200
1998-04-28,16.416593551635742,21.5,21.875,20.75,20.875,29100
1998-04-29,17.180152893066406,22.5,22.5,21.0,21.5,101300
1998-04-30,17.561933517456055,23.0,23.25,22.375,22.5,116300
1998-05-01,16.89381217956543,22.125,23.125,22.0,23.0,61000
1998-05-04,16.51204490661621,21.625,22.25,21.25,22.125,58400
1998-05-05,16.22569465637207,21.25,21.75,20.75,21.625,44000
1998-05-06,16.798370361328125,22.0,22.0,20.875,21.25,47300
1998-05-07,16.321149826049805,21.375,22.125,21.375,22.0,230900
1998-05-08,17.275596618652344,22.625,22.75,21.75,21.75,320700
1998-05-11,17.08470916748047,22.375,22.75,22.25,22.625,375200
1998-05-12,16.798370361328125,22.0,22.625,22.0,22.375,333300
1998-05-13,17.08470916748047,22.375,22.625,22.125,22.125,88100
1998-05-14,17.180152893066406,22.5,22.5,22.0,22.375,35600
1998-05-15,16.798370361328125,22.0,22.5,21.5,22.5,69200
1998-05-18,16.416593551635742,21.5,22.125,21.0,22.0,53200
1998-05-19,16.798370361328125,22.0,22.0,21.5,21.5,21000
1998-05-20,16.034807205200195,21.0,22.0,21.0,22.0,14100
1998-05-21,16.1302490234375,21.125,21.125,19.5,21.0,116400
1998-05-22,15.748475074768066,20.625,20.75,20.25,20.75,45100
1998-05-26,14.889464378356934,19.5,21.0,19.125,20.625,119500
1998-05-27,14.698579788208008,19.25,19.5,18.75,19.5,91100
1998-05-28,15.653029441833496,20.5,20.5,18.75,19.25,163600
1998-05-29,17.180152893066406,22.5,22.5,20.5,20.5,121900
1998-06-01,16.89381217956543,22.125,22.5,22.0,22.5,258500
1998-06-02,17.08470916748047,22.375,22.5,22.125,22.125,123400
1998-06-03,15.843912124633789,20.75,22.5,20.75,22.375,180600
1998-06-04,15.843912124633789,20.75,21.0,20.0,20.75,263200
1998-06-05,17.46649169921875,22.875,23.0,21.0,21.0,290100
1998-06-08,17.561933517456055,23.0,23.625,22.5,23.25,2718000
1998-06-09,17.08470916748047,22.375,23.0,22.0,23.0,604900
1998-06-10,17.46649169921875,22.875,23.125,22.5,22.5,149300
1998-06-11,17.561933517456055,23.0,23.0625,22.5625,22.875,697400
1998-06-12,17.22787857055664,22.5625,23.0,22.375,23.0,782000
1998-06-15,16.702924728393555,21.875,22.9375,21.875,22.9375,165900
1998-06-16,16.607481002807617,21.75,22.0,21.75,21.9375,95000
1998-06-17,16.750646591186523,21.9375,21.9375,21.5,21.9375,57400
1998-06-18,16.416593551635742,21.5,21.9375,21.375,21.9375,588700
1998-06-19,16.177974700927734,21.1875,21.375,21.0625,21.125,698100
1998-06-22,16.1302490234375,21.125,21.375,20.625,21.0,159500
1998-06-23,17.180152893066406,22.5,22.75,21.625,21.875,234000
1998-06-24,17.561933517456055,23.0,23.0625,22.5,22.5,275900
1998-06-25,17.561933517456055,23.0,23.625,22.6875,23.0,223500
1998-06-26,17.84827423095703,23.375,23.625,23.125,23.25,115800
