Date,Adj Close,Close,High,Low,Open,Volume
1995-01-03,20.090150833129883,22.5,22.625,22.25,22.625,400300
1995-01-04,19.532093048095703,21.875,23.125,21.625,22.75,834500
1995-01-05,19.532093048095703,21.875,22.25,21.625,22.0,584900
1995-01-06,19.75531005859375,22.125,22.375,22.0,22.125,461700
1995-01-09,19.978544235229492,22.375,22.5,22.25,22.375,182900
1995-01-10,20.983051300048828,23.5,24.5,22.375,22.5,1579300
1995-01-11,20.983051300048828,23.5,23.875,23.375,23.75,454700
1995-01-12,20.53660774230957,23.0,23.5,22.625,23.5,261000
1995-01-13,21.09465217590332,23.625,24.0,23.125,23.375,583000
1995-01-16,21.206268310546875,23.75,24.0,23.25,23.25,667600
1995-01-17,20.87142562866211,23.375,24.0,23.25,23.75,658300
1995-01-18,20.31337547302246,22.75,23.5,22.625,23.375,699600
1995-01-19,19.866928100585938,22.25,22.5,22.125,22.25,778400
1995-01-20,19.75531005859375,22.125,22.625,22.125,22.375,774800
1995-01-23,19.978544235229492,22.375,22.375,22.0,22.125,438500
1995-01-24,19.978544235229492,22.375,22.625,22.125,22.125,421900
1995-01-25,19.978544235229492,22.375,22.625,22.375,22.625,273300
1995-01-26,20.42498207092285,22.875,23.125,22.625,22.75,349500
1995-01-27,19.978544235229492,22.375,23.0,22.375,23.0,341500
1995-01-30,20.75982666015625,23.25,23.5,22.5,22.5,625900
1995-01-31,20.42498207092285,22.875,23.75,22.625,23.125,1055500
1995-02-01,21.206268310546875,23.75,24.125,22.75,22.75,1402500
1995-02-02,22.21078109741211,24.875,25.0,23.75,23.75,954200
1995-02-03,22.657222747802734,25.375,25.75,24.75,24.875,1119500
1995-02-06,22.545608520507812,25.25,25.625,25.25,25.25,531200
1995-02-07,21.76432991027832,24.375,25.25,24.375,25.125,502700
1995-02-08,22.099166870117188,24.75,25.0,24.625,24.75,539300
1995-02-09,21.9875545501709,24.625,24.75,24.5,24.75,246800
1995-02-10,21.87593650817871,24.5,24.75,24.375,24.75,621600
1995-02-13,21.42949104309082,24.0,25.375,24.0,24.625,615600
1995-02-14,21.09465217590332,23.625,24.375,23.625,24.375,834100
1995-02-15,20.87142562866211,23.375,24.125,23.375,23.875,752000
1995-02-16,21.206268310546875,23.75,23.875,23.25,23.375,961300
1995-02-17,21.09465217590332,23.625,24.0,23.5,24.0,674300
1995-02-21,20.983051300048828,23.5,23.625,23.125,23.5,543400
1995-02-22,20.983051300048828,23.5,23.625,23.125,23.5,553200
1995-02-23,20.64821434020996,23.125,23.875,22.75,23.75,1089500
1995-02-24,20.42498207092285,22.875,23.5,22.875,23.25,389800
1995-02-27,20.75982666015625,23.25,23.375,23.0,23.125,319200
1995-02-28,20.983051300048828,23.5,23.75,23.125,23.125,205100
1995-03-01,21.541101455688477,24.125,24.125,23.625,23.75,764400
1995-03-02,21.31788444519043,23.875,24.125,23.625,24.125,277100
1995-03-03,21.42949104309082,24.0,24.125,23.875,24.0,407700
1995-03-06,20.983051300048828,23.5,23.75,23.375,23.75,539200
1995-03-07,20.53660774230957,23.0,23.375,23.0,23.375,424400
1995-03-08,20.64821434020996,23.125,23.25,22.875,23.125,1015000
1995-03-09,20.64821434020996,23.125,23.5,23.0,23.0,334500
1995-03-10,20.42498207092285,22.875,23.5,22.875,23.375,782700
1995-03-13,20.983051300048828,23.5,23.5,23.0,23.0,444300
1995-03-14,21.09465217590332,23.625,24.0,23.375,23.5,466100
1995-03-15,21.206268310546875,23.75,23.75,23.375,23.75,234800
1995-03-16,21.9875545501709,24.625,24.875,23.5,23.5,891200
1995-03-17,21.76432991027832,24.375,24.875,24.25,24.625,819300
1995-03-20,22.434005737304688,25.125,25.25,24.375,24.625,576900
1995-03-21,21.9875545501709,24.625,25.125,24.625,25.0,272900
1995-03-22,22.099166870117188,24.75,24.875,24.625,24.75,472400
1995-03-23,21.652721405029297,24.25,24.75,24.25,24.625,271100
1995-03-24,21.541101455688477,24.125,24.75,24.0,24.5,350700
1995-03-27,21.9875545501709,24.625,24.75,24.375,24.375,661000
1995-03-28,23.103683471679688,25.875,25.875,24.75,24.75,969700
1995-03-29,23.661731719970703,26.5,27.125,26.25,26.25,1144600
1995-03-30,23.103683471679688,25.875,26.625,25.875,26.625,521700
1995-03-31,22.880447387695312,25.625,25.875,25.375,25.875,474100
