Date,Adj Close,Close,High,Low,Open,Volume
1995-01-03,6.6341233253479,13.625,13.75,13.4375,13.65625,3628400
1995-01-04,6.694984436035156,13.75,13.75,13.5,13.5,4161600
1995-01-05,6.664557933807373,13.6875,13.75,13.625,13.71875,3164400
1995-01-06,6.6189093589782715,13.59375,13.6875,13.5625,13.625,2118800
1995-01-09,6.542827606201172,13.4375,13.625,13.40625,13.53125,4505600
1995-01-10,6.679771900177002,13.71875,13.71875,13.40625,13.40625,4687200
1995-01-11,6.679771900177002,13.71875,13.71875,13.5,13.6875,4092000
1995-01-12,6.6189093589782715,13.59375,13.8125,13.5625,13.6875,4158800
1995-01-13,6.603690147399902,13.5625,13.65625,13.53125,13.59375,3106800
1995-01-16,6.664557933807373,13.6875,13.71875,13.5625,13.5625,2640400
1995-01-17,6.694984436035156,13.75,13.75,13.625,13.71875,3318400
1995-01-18,6.679771900177002,13.71875,13.75,13.625,13.625,4196000
1995-01-19,6.6341233253479,13.625,13.6875,13.59375,13.625,4822000
1995-01-20,6.6341233253479,13.625,13.6875,13.5,13.5625,6950400
1995-01-23,6.801501274108887,13.96875,14.0,13.5,13.53125,4253600
1995-01-24,6.710203647613525,13.78125,13.96875,13.78125,13.96875,4023200
1995-01-25,6.664557933807373,13.6875,13.78125,13.65625,13.78125,3411600
1995-01-26,6.801501274108887,13.96875,14.03125,13.6875,13.6875,5145600
1995-01-27,6.953657150268555,14.28125,14.3125,13.96875,14.0625,4922800
1995-01-30,7.014522075653076,14.40625,14.40625,14.125,14.125,4829200
1995-01-31,7.07538366317749,14.53125,14.875,14.4375,14.46875,9072800
1995-02-01,6.908010959625244,14.1875,14.59375,14.125,14.59375,5150400
1995-02-02,6.923226833343506,14.21875,14.375,14.15625,14.25,4663200
1995-02-03,6.984091281890869,14.34375,14.40625,14.25,14.25,3729200
1995-02-06,7.0297369956970215,14.4375,14.59375,14.375,14.375,4676400
1995-02-07,7.044954776763916,14.46875,14.5,14.34375,14.375,3205600
1995-02-08,7.0345563888549805,14.375,14.40625,14.25,14.28125,3562000
1995-02-09,6.942800045013428,14.1875,14.375,14.1875,14.34375,4261600
1995-02-10,6.98867654800415,14.28125,14.375,14.0625,14.21875,5380000
1995-02-13,6.98867654800415,14.28125,14.375,14.09375,14.3125,6892000
1995-02-14,6.973381519317627,14.25,14.375,14.21875,14.34375,2851200
1995-02-15,6.912216663360596,14.125,14.34375,14.09375,14.3125,5703200
1995-02-16,6.912216663360596,14.125,14.125,13.96875,14.03125,3630400
1995-02-17,6.805166721343994,13.90625,14.28125,13.875,14.09375,10343200
1995-02-21,6.835752964019775,13.96875,14.03125,13.90625,13.9375,3746800
1995-02-22,6.942800045013428,14.1875,14.28125,14.0,14.0,3995600
1995-02-23,6.973381519317627,14.25,14.34375,14.1875,14.25,3925600
1995-02-24,6.98867654800415,14.28125,14.40625,14.21875,14.28125,4041200
1995-02-27,6.9580912590026855,14.21875,14.40625,14.1875,14.28125,2692000
1995-02-28,6.942800045013428,14.1875,14.34375,14.125,14.15625,3650800
1995-03-01,6.927507400512695,14.15625,14.25,14.09375,14.15625,4342400
1995-03-02,7.111016273498535,14.53125,14.53125,14.15625,14.25,3658800
1995-03-03,7.065139293670654,14.4375,14.5,14.375,14.46875,3278400
1995-03-06,7.095724105834961,14.5,14.625,14.21875,14.40625,3483200
1995-03-07,7.095724105834961,14.5,14.5625,14.21875,14.4375,4178000
1995-03-08,7.111016273498535,14.53125,14.65625,14.375,14.625,4726800
1995-03-09,7.111016273498535,14.53125,14.5625,14.40625,14.5,3419200
1995-03-10,7.2180657386779785,14.75,14.875,14.53125,14.59375,4826800
1995-03-13,7.370992660522461,15.0625,15.09375,14.84375,14.875,3940000
1995-03-14,7.370992660522461,15.0625,15.21875,15.0625,15.0625,4422800
1995-03-15,7.508617401123047,15.34375,15.40625,15.09375,15.09375,5116000
1995-03-16,7.5392022132873535,15.40625,15.53125,15.28125,15.375,7684800
1995-03-17,7.646254539489746,15.625,15.6875,15.46875,15.5,10629200
1995-03-20,7.585084915161133,15.5,15.625,15.40625,15.59375,3883200
1995-03-21,7.554499626159668,15.4375,15.75,15.40625,15.4375,3686800
1995-03-22,7.5239105224609375,15.375,15.5625,15.3125,15.46875,4294000
1995-03-23,7.478036880493164,15.28125,15.375,15.25,15.375,3449600
1995-03-24,7.569789886474609,15.46875,15.5,15.28125,15.3125,3201200
1995-03-27,7.569789886474609,15.46875,15.53125,15.375,15.53125,1997600
1995-03-28,7.554499626159668,15.4375,15.46875,15.34375,15.4375,2728800
1995-03-29,7.3404035568237305,15.0,15.53125,14.875,15.375,5846400
1995-03-30,7.3404035568237305,15.0,15.125,14.875,15.125,4970400
1995-03-31,7.279232978820801,14.875,14.96875,14.84375,14.9375,3916800
1995-04-03,7.279232978820801,14.875,14.9375,14.8125,14.84375,5176000
1995-04-04,7.325109958648682,14.96875,14.96875,14.59375,14.875,4789200
1995-04-05,7.298349380493164,14.914063453674316,14.96875,14.8125,14.96875,3395600
1995-04-06,7.248646259307861,14.8125,14.875,14.65625,14.875,5149600
1995-04-07,7.2180657386779785,14.75,14.84375,14.65625,14.84375,4439200
1995-04-10,7.3404035568237305,15.0,15.03125,14.6875,14.6875,3961600
1995-04-11,7.355694770812988,15.03125,15.15625,14.90625,15.09375,3899600
1995-04-12,7.355694770812988,15.03125,15.125,15.0,15.0625,3906800
1995-04-13,7.5392022132873535,15.40625,15.40625,15.0,15.0625,3454000
1995-04-17,7.401575088500977,15.125,15.59375,15.09375,15.5,3200400
1995-04-18,7.66154670715332,15.65625,15.75,15.40625,15.46875,9704400
1995-04-19,7.676839351654053,15.6875,15.75,15.5625,15.6875,6460800
1995-04-20,7.70742130279541,15.75,15.78125,15.53125,15.65625,5136800
1995-04-21,7.73800802230835,15.8125,15.84375,15.625,15.75,6753200
1995-04-24,7.829764366149902,16.0,16.125,15.75,15.8125,4524000
1995-04-25,7.799179553985596,15.9375,16.0,15.90625,16.0,3510400
1995-04-26,7.845057487487793,16.03125,16.03125,15.8125,15.90625,4032800
1995-04-27,7.753300666809082,15.84375,16.125,15.84375,16.0,4182000
1995-04-28,7.952105522155762,16.25,16.28125,15.71875,15.8125,5328800
1995-05-01,7.936812877655029,16.21875,16.34375,16.0,16.1875,3758400
1995-05-02,7.952105522155762,16.25,16.375,16.1875,16.25,2877600
1995-05-03,8.043862342834473,16.4375,16.46875,16.28125,16.28125,2839600
1995-05-04,8.08973503112793,16.53125,16.8125,16.46875,16.5,4625600
