Date,Adj Close,Close,High,Low,Open,Volume
1995-01-03,6.1526079177856445,12.9375,12.96875,12.8125,12.875,5140400
1995-01-04,6.018857955932617,12.65625,12.9375,12.59375,12.9375,6486000
1995-01-05,5.9891357421875,12.59375,12.6875,12.46875,12.65625,8465600
1995-01-06,5.9891357421875,12.59375,12.65625,12.5,12.59375,5403200
1995-01-09,5.899966239929199,12.40625,12.5625,12.375,12.5625,5883600
1995-01-10,5.840520858764648,12.28125,12.46875,12.25,12.40625,7449600
1995-01-11,5.855382442474365,12.3125,12.375,12.25,12.28125,7812400
1995-01-12,5.914828777313232,12.4375,12.46875,12.1875,12.3125,8340400
1995-01-13,5.914828777313232,12.4375,12.625,12.40625,12.4375,9859200
1995-01-16,6.018857955932617,12.65625,12.71875,12.53125,12.53125,5756800
1995-01-17,6.048581123352051,12.71875,12.8125,12.65625,12.65625,5141200
1995-01-18,6.003994464874268,12.625,12.6875,12.5625,12.6875,4547600
1995-01-19,6.048581123352051,12.71875,12.78125,12.5,12.625,6010400
1995-01-20,6.048581123352051,12.71875,12.75,12.65625,12.71875,10706800
1995-01-23,6.048581123352051,12.71875,12.8125,12.65625,12.71875,5020800
1995-01-24,5.9891357421875,12.59375,12.71875,12.5625,12.71875,5836800
1995-01-25,6.018857955932617,12.65625,12.75,12.5625,12.59375,6080000
1995-01-26,6.1526079177856445,12.9375,12.9375,12.65625,12.65625,4964000
1995-01-27,6.226916790008545,13.09375,13.1875,12.9375,12.9375,7456000
1995-01-30,6.256636619567871,13.15625,13.1875,13.0,13.09375,5830400
1995-01-31,6.241775989532471,13.125,13.1875,13.09375,13.15625,5863200
1995-02-01,6.212056636810303,13.0625,13.21875,13.0625,13.125,4682000
1995-02-02,6.226916790008545,13.09375,13.09375,12.90625,13.0625,4794000
1995-02-03,6.316083908081055,13.28125,13.28125,13.15625,13.15625,5730800
1995-02-06,6.330947399139404,13.3125,13.40625,13.21875,13.28125,5790800
1995-02-07,6.37553071975708,13.40625,13.46875,13.28125,13.3125,4474800
1995-02-08,6.330947399139404,13.3125,13.53125,13.3125,13.40625,4912000
1995-02-09,6.241775989532471,13.125,13.34375,13.09375,13.3125,4352000
1995-02-10,6.316083908081055,13.28125,13.3125,13.0,13.125,5887600
1995-02-13,6.226916790008545,13.09375,13.3125,13.0625,13.28125,4449200
1995-02-14,6.197194576263428,13.03125,13.15625,12.96875,13.09375,5996400
1995-02-15,6.286362648010254,13.21875,13.28125,13.03125,13.03125,6121600
1995-02-16,6.420113563537598,13.5,13.5,13.1875,13.21875,6071200
1995-02-17,6.345808029174805,13.34375,13.5,13.34375,13.5,12989200
1995-02-21,6.37553071975708,13.40625,13.46875,13.28125,13.34375,5260000
1995-02-22,6.3903889656066895,13.4375,13.46875,13.3125,13.40625,6856000
1995-02-23,6.420113563537598,13.5,13.625,13.4375,13.4375,5518000
1995-02-24,6.509283065795898,13.6875,13.71875,13.5,13.5,4967200
1995-02-27,6.479560375213623,13.625,13.78125,13.625,13.6875,4788800
1995-02-28,6.539003372192383,13.75,13.75,13.53125,13.625,5686800
1995-03-01,6.568727016448975,13.8125,13.8125,13.65625,13.75,5937600
1995-03-02,6.524142265319824,13.71875,13.875,13.6875,13.8125,3712400
1995-03-03,6.553866863250732,13.78125,13.875,13.65625,13.71875,4786000
1995-03-06,6.643036365509033,13.96875,14.0,13.65625,13.78125,5340400
1995-03-07,6.583587646484375,13.84375,13.96875,13.78125,13.96875,7058000
1995-03-08,6.598451137542725,13.875,13.9375,13.84375,13.84375,6709600
1995-03-09,6.565026760101318,13.75,13.90625,13.6875,13.875,5717600
1995-03-10,6.773914337158203,14.1875,14.21875,13.75,13.75,7529200
1995-03-13,6.7888312339782715,14.21875,14.28125,14.125,14.1875,4592400
1995-03-14,6.7888312339782715,14.21875,14.3125,14.1875,14.21875,4772400
1995-03-15,6.81867790222168,14.28125,14.3125,14.1875,14.21875,4292000
1995-03-16,6.982802391052246,14.625,14.6875,14.25,14.28125,6750800
1995-03-17,6.952962875366211,14.5625,14.65625,14.53125,14.625,13594800
1995-03-20,6.893280982971191,14.4375,14.5625,14.40625,14.5625,5820000
1995-03-21,6.982802391052246,14.625,14.84375,14.4375,14.4375,7289600
1995-03-22,7.042483329772949,14.75,14.84375,14.65625,14.65625,6744800
1995-03-23,6.923122406005859,14.5,14.59765625,14.34375,14.59765625,17843200
1995-03-24,6.893280982971191,14.4375,14.5625,14.40625,14.5,8181200
1995-03-27,6.848517417907715,14.34375,14.40625,14.1875,14.40625,7771200
1995-03-28,6.803758144378662,14.25,14.375,14.25,14.34375,5079600
1995-03-29,6.878358840942383,14.40625,14.5625,14.15625,14.25,9080800
1995-03-30,6.773914337158203,14.1875,14.4375,14.15625,14.40625,5494000
1995-03-31,6.729156970977783,14.09375,14.28125,14.0625,14.1875,7028800
1995-04-03,6.893280982971191,14.4375,14.46875,14.03125,14.09375,6577200
1995-04-04,6.9678826332092285,14.59375,14.59375,14.46875,14.46875,6312800
1995-04-05,6.952962875366211,14.5625,14.59375,14.46875,14.59375,4466000
1995-04-06,6.982802391052246,14.625,14.625,14.46875,14.5625,4118000
1995-04-07,7.012642860412598,14.6875,14.71875,14.46875,14.625,4659600
1995-04-10,6.982802391052246,14.625,14.71875,14.59375,14.6875,3836400
1995-04-11,6.908199787139893,14.46875,14.6875,14.4375,14.625,4266000
1995-04-12,6.9678826332092285,14.59375,14.59375,14.4375,14.46875,4249200
1995-04-13,6.938042640686035,14.53125,14.71875,14.53125,14.59375,3522400
1995-04-17,6.81867790222168,14.28125,14.59375,14.28125,14.53125,5425200
1995-04-18,6.9678826332092285,14.59375,14.625,14.28125,14.28125,4948400
