Date,Adj Close,Close,High,Low,Open,Volume
1995-01-03,1.6198710203170776,4.375,4.375,4.328125,4.359375,1897600
1995-01-04,1.6198710203170776,4.375,4.40625,4.359375,4.375,2606400
1995-01-05,1.6198710203170776,4.375,4.40625,4.375,4.390625,2114400
1995-01-06,1.6025149822235107,4.328125,4.40625,4.3125,4.375,1904800
1995-01-09,1.5967295169830322,4.3125,4.34375,4.3125,4.3125,1292000
1995-01-10,1.5967295169830322,4.3125,4.34375,4.3125,4.3125,2408000
1995-01-11,1.6083003282546997,4.34375,4.34375,4.296875,4.3125,2778400
1995-01-12,1.6140856742858887,4.359375,4.375,4.3125,4.3125,4200800
1995-01-13,1.6198710203170776,4.375,4.390625,4.34375,4.359375,3675200
1995-01-16,1.6314411163330078,4.40625,4.4375,4.359375,4.375,3181600
1995-01-17,1.6430119276046753,4.4375,4.4375,4.390625,4.390625,2831200
1995-01-18,1.6372268199920654,4.421875,4.4375,4.40625,4.40625,1736800
1995-01-19,1.6314411163330078,4.40625,4.421875,4.375,4.40625,2448000
1995-01-20,1.6314411163330078,4.40625,4.40625,4.359375,4.40625,2712000
1995-01-23,1.6314411163330078,4.40625,4.4375,4.359375,4.375,4280800
1995-01-24,1.6198710203170776,4.375,4.4375,4.375,4.390625,6511200
1995-01-25,1.6430119276046753,4.4375,4.484375,4.375,4.390625,4792800
1995-01-26,1.648796558380127,4.453125,4.453125,4.421875,4.421875,2412800
1995-01-27,1.6430119276046753,4.4375,4.5,4.4375,4.453125,2864000
1995-01-30,1.671937346458435,4.515625,4.515625,4.453125,4.453125,5627200
1995-01-31,1.6950784921646118,4.578125,4.609375,4.5,4.515625,4131200
1995-02-01,1.6835085153579712,4.546875,4.59375,4.546875,4.59375,3000000
1995-02-02,1.666153073310852,4.5,4.53125,4.484375,4.53125,2397600
1995-02-03,1.7066487073898315,4.609375,4.609375,4.53125,4.53125,3452000
1995-02-06,1.6892931461334229,4.5625,4.65625,4.5625,4.59375,3947200
1995-02-07,1.6835085153579712,4.546875,4.578125,4.546875,4.5625,2134400
1995-02-08,1.6835085153579712,4.546875,4.59375,4.53125,4.546875,2978400
1995-02-09,1.666153073310852,4.5,4.578125,4.5,4.53125,2357600
1995-02-10,1.6835085153579712,4.546875,4.5625,4.5,4.5,2777600
1995-02-13,1.6892931461334229,4.5625,4.578125,4.53125,4.546875,2902400
1995-02-14,1.6950784921646118,4.578125,4.59375,4.5625,4.5625,3020000
1995-02-15,1.7066487073898315,4.609375,4.609375,4.578125,4.578125,2069600
1995-02-16,1.7066487073898315,4.609375,4.625,4.5625,4.609375,5181600
1995-02-17,1.6862739324569702,4.5,4.5625,4.5,4.53125,5233600
1995-02-21,1.6745628118515015,4.46875,4.515625,4.46875,4.5,2274400
1995-02-22,1.680418848991394,4.484375,4.515625,4.46875,4.484375,2797600
1995-02-23,1.6745628118515015,4.46875,4.53125,4.46875,4.515625,4688800
1995-02-24,1.697983741760254,4.53125,4.53125,4.453125,4.46875,2549600
1995-02-27,1.680418848991394,4.484375,4.53125,4.484375,4.515625,1269600
1995-02-28,1.680418848991394,4.484375,4.5,4.46875,4.484375,2029600
1995-03-01,1.6452871561050415,4.390625,4.5,4.375,4.484375,2251200
1995-03-02,1.6335777044296265,4.359375,4.40625,4.34375,4.390625,3764000
1995-03-03,1.6335777044296265,4.359375,4.375,4.328125,4.359375,2006400
1995-03-06,1.6101574897766113,4.296875,4.34375,4.25,4.328125,4612000
1995-03-07,1.621867299079895,4.328125,4.328125,4.265625,4.265625,3146400
1995-03-08,1.6160110235214233,4.3125,4.359375,4.25,4.34375,2860000
1995-03-09,1.6101574897766113,4.296875,4.328125,4.296875,4.3125,1975200
1995-03-10,1.6277216672897339,4.34375,4.359375,4.296875,4.3125,2410400
1995-03-13,1.6335777044296265,4.359375,4.375,4.328125,4.375,1679200
1995-03-14,1.6394318342208862,4.375,4.40625,4.359375,4.375,2367200
1995-03-15,1.6394318342208862,4.375,4.40625,4.359375,4.359375,2269600
1995-03-16,1.6628525257110596,4.4375,4.46875,4.40625,4.421875,3823200
1995-03-17,1.6628525257110596,4.4375,4.453125,4.40625,4.453125,3886400
1995-03-20,1.6628525257110596,4.4375,4.46875,4.40625,4.4375,2731200
1995-03-21,1.6569976806640625,4.421875,4.453125,4.40625,4.421875,2508800
1995-03-22,1.6277216672897339,4.34375,4.40625,4.34375,4.390625,3165600
1995-03-23,1.6277216672897339,4.34375,4.359375,4.3125,4.34375,2215200
1995-03-24,1.6452871561050415,4.390625,4.421875,4.359375,4.359375,3772800
1995-03-27,1.6687085628509521,4.453125,4.46875,4.40625,4.421875,1767200
1995-03-28,1.680418848991394,4.484375,4.5,4.46875,4.46875,2829600
1995-03-29,1.680418848991394,4.484375,4.53125,4.453125,4.46875,11672800
1995-03-30,1.680418848991394,4.484375,4.5,4.46875,4.5,2313600
1995-03-31,1.7038379907608032,4.546875,4.546875,4.390625,4.453125,4978400
1995-04-03,1.697983741760254,4.53125,4.546875,4.515625,4.546875,2106400
1995-04-04,1.7096939086914062,4.5625,4.578125,4.546875,4.546875,4148800
1995-04-05,1.7331136465072632,4.625,4.65625,4.5625,4.5625,5939200
1995-04-06,1.738968849182129,4.640625,4.671875,4.625,4.625,3085600
1995-04-07,1.7331136465072632,4.625,4.671875,4.625,4.640625,4488000
1995-04-10,1.7448248863220215,4.65625,4.65625,4.640625,4.65625,2087200
1995-04-11,1.7506788969039917,4.671875,4.6875,4.640625,4.671875,3049600
1995-04-12,1.7506788969039917,4.671875,4.6875,4.65625,4.671875,3800800
