Date,Adj Close,Close,High,Low,Open,Volume
1995-01-03,7.441166400909424,15.59375,15.625,15.4375,15.46875,3318400
1995-01-04,7.381519794464111,15.46875,15.65625,15.3125,15.53125,2218800
1995-01-05,7.277130603790283,15.25,15.4375,15.21875,15.375,2319600
1995-01-06,7.29204797744751,15.28125,15.40625,15.15625,15.15625,3438000
1995-01-09,7.2622199058532715,15.21875,15.40625,15.1875,15.34375,1795200
1995-01-10,7.351693153381348,15.40625,15.4375,15.1875,15.28125,4364000
1995-01-11,7.3367838859558105,15.375,15.59375,15.375,15.59375,3738400
1995-01-12,7.411343097686768,15.53125,15.53125,15.3125,15.375,3307600
1995-01-13,7.498321056365967,15.625,15.84375,15.53125,15.59375,3992800
1995-01-16,7.5583086013793945,15.75,15.96875,15.75,15.90625,3677200
1995-01-17,7.588303089141846,15.8125,15.8125,15.65625,15.71875,2437600
1995-01-18,7.42333984375,15.46875,15.75,15.4375,15.6875,3535200
1995-01-19,7.393350601196289,15.40625,15.40625,15.34375,15.34375,2491200
1995-01-20,7.363354206085205,15.34375,15.40625,15.25,15.40625,5130800
1995-01-23,7.438334941864014,15.5,15.5,15.1875,15.1875,3147200
1995-01-24,7.42333984375,15.46875,15.53125,15.375,15.5,2016400
1995-01-25,7.528313636779785,15.6875,15.78125,15.4375,15.5,2802400
1995-01-26,7.5583086013793945,15.75,15.84375,15.6875,15.71875,3124000
1995-01-27,7.768263339996338,16.1875,16.25,15.8125,15.8125,6247200
1995-01-30,7.888233184814453,16.4375,16.5625,16.09375,16.125,5226400
1995-01-31,7.813255786895752,16.28125,16.5,16.28125,16.34375,3934800
1995-02-01,7.663284778594971,15.96875,16.34375,15.9375,16.34375,3047200
1995-02-02,7.723273277282715,16.09375,16.125,15.875,15.96875,3810400
1995-02-03,7.798255443572998,16.25,16.375,16.1875,16.21875,4442800
1995-02-06,7.978214263916016,16.625,16.625,16.28125,16.28125,4003600
1995-02-07,7.963220596313477,16.59375,16.59375,16.40625,16.5625,2380400
1995-02-08,7.873240947723389,16.40625,16.59375,16.40625,16.59375,2481200
1995-02-09,7.858240127563477,16.375,16.46875,16.3125,16.4375,2143600
1995-02-10,7.843245029449463,16.34375,16.40625,16.15625,16.34375,2445600
1995-02-13,7.903233051300049,16.46875,16.46875,16.3125,16.3125,1726400
1995-02-14,7.828251361846924,16.3125,16.4375,16.21875,16.4375,2022000
1995-02-15,7.828251361846924,16.3125,16.5,16.21875,16.25,3767600
1995-02-16,7.843245029449463,16.34375,16.375,16.25,16.28125,2384400
1995-02-17,7.888233184814453,16.4375,16.5,16.21875,16.28125,7177200
1995-02-21,7.948224067687988,16.5625,16.6875,16.40625,16.46875,3086000
1995-02-22,7.888233184814453,16.4375,16.6875,16.4375,16.5625,2640800
1995-02-23,7.978214263916016,16.625,16.75,16.5625,16.65625,3405200
1995-02-24,8.008209228515625,16.6875,16.6875,16.53125,16.5625,2863200
1995-02-27,7.963220596313477,16.59375,16.6875,16.40625,16.65625,3025200
1995-02-28,7.978214263916016,16.625,16.625,16.5,16.5,2268400
1995-03-01,7.873240947723389,16.40625,16.59375,16.3125,16.53125,2780400
1995-03-02,7.933227062225342,16.53125,16.53125,16.34375,16.40625,2977200
1995-03-03,7.933227062225342,16.53125,16.625,16.40625,16.4375,2320400
1995-03-06,7.978214263916016,16.625,16.6875,16.34375,16.4375,2283600
1995-03-07,7.843245029449463,16.34375,16.625,16.25,16.5625,2642800
1995-03-08,7.828251361846924,16.3125,16.4375,16.21875,16.40625,2467600
1995-03-09,7.918230056762695,16.5,16.53125,16.21875,16.3125,2942400
1995-03-10,8.068194389343262,16.8125,16.84375,16.5625,16.59375,4039600
1995-03-13,8.068194389343262,16.8125,16.9375,16.78125,16.8125,2607200
1995-03-14,8.233156204223633,17.15625,17.25,16.8125,16.9375,4282000
1995-03-15,8.263157844543457,17.21875,17.25,17.09375,17.09375,4200400
1995-03-16,8.218160629272461,17.125,17.28125,17.125,17.1875,3931200
1995-03-17,8.323138236999512,17.34375,17.375,17.125,17.1875,8228000
1995-03-20,8.338129997253418,17.375,17.40625,17.3125,17.3125,2987200
