Date,Adj Close,Close,High,Low,Open,Volume
1997-11-21,7.883607864379883,23.0,23.5,22.75,23.5,3821400
1997-11-24,7.797915458679199,22.75,23.0,22.25,23.0,541600
1997-11-25,7.883607864379883,23.0,23.0,22.6875,22.875,425000
1997-11-26,7.797915458679199,22.75,23.0,22.75,23.0,165200
1997-11-28,7.883607864379883,23.0,23.0,22.75,22.75,60500
1997-12-01,7.905031681060791,23.0625,23.125,23.0,23.0625,120300
1997-12-02,7.883607864379883,23.0,23.125,22.875,23.125,164200
1997-12-03,7.883607864379883,23.0,23.0625,22.9375,23.0625,540000
1997-12-04,7.883607864379883,23.0,23.0625,23.0,23.0,43800
1997-12-05,7.905031681060791,23.0625,23.375,22.875,22.875,147500
1997-12-08,7.9478759765625,23.1875,23.25,23.0,23.0,74900
1997-12-09,7.9478759765625,23.1875,23.1875,23.0,23.125,61000
1997-12-10,7.905031681060791,23.0625,23.25,23.0625,23.125,104500
1997-12-11,7.905031681060791,23.0625,23.125,23.0,23.0,153600
1997-12-12,7.9478759765625,23.1875,23.1875,23.0625,23.0625,59900
1997-12-15,7.9478759765625,23.1875,23.1875,23.0625,23.125,24400
1997-12-16,8.144908905029297,23.625,23.75,23.1875,23.1875,107900
1997-12-17,8.33882999420166,24.1875,24.25,23.6875,23.75,63900
1997-12-18,8.360379219055176,24.25,24.25,24.125,24.125,35700
1997-12-19,8.231096267700195,23.875,24.25,23.75,24.25,134400
1997-12-22,8.274192810058594,24.0,24.125,23.875,23.9375,34400
1997-12-23,8.274192810058594,24.0,24.1875,24.0,24.0,88500
1997-12-24,8.274192810058594,24.0,24.0,23.8125,23.9375,63300
1997-12-26,8.166458129882812,23.6875,23.875,23.5625,23.875,34600
1997-12-29,8.209548950195312,23.8125,24.0625,23.75,23.875,159600
1997-12-30,8.381925582885742,24.3125,24.3125,23.6875,24.0,52400
1997-12-31,8.662041664123535,25.125,25.125,24.375,24.375,215700
1998-01-02,8.575851440429688,24.875,25.0,24.625,25.0,52000
1998-01-05,8.489665985107422,24.625,24.9375,24.625,24.75,42300
1998-01-06,8.511207580566406,24.6875,24.75,24.625,24.75,26900
1998-01-07,8.489665985107422,24.625,24.75,24.4375,24.6875,49500
1998-01-08,8.468116760253906,24.5625,24.75,24.375,24.5,95700
1998-01-09,8.403474807739258,24.375,24.5,24.125,24.5,37800
1998-01-12,8.425021171569824,24.4375,24.4375,23.75,24.125,24500
1998-01-13,8.468116760253906,24.5625,24.625,24.4375,24.5,190300
1998-01-14,8.532760620117188,24.75,24.75,24.25,24.5,201800
1998-01-15,8.446569442749023,24.5,24.75,24.5,24.75,39200
1998-01-16,8.446569442749023,24.5,24.5625,24.375,24.5625,13600
1998-01-20,8.489665985107422,24.625,24.75,24.5625,24.625,63200
1998-01-21,8.532760620117188,24.75,24.875,24.5625,24.6875,90400
1998-01-22,8.511207580566406,24.6875,24.875,24.625,24.875,99600
1998-01-23,8.425021171569824,24.4375,24.75,24.4375,24.75,11200
1998-01-26,8.317283630371094,24.125,24.375,24.125,24.3125,50500
1998-01-27,8.360379219055176,24.25,24.5,24.0,24.25,17300
1998-01-28,8.274192810058594,24.0,24.125,23.875,24.125,68700
1998-01-29,8.274192810058594,24.0,24.125,23.75,23.75,67700
1998-01-30,8.446569442749023,24.5,24.5,24.0,24.0,33000
1998-02-02,8.532760620117188,24.75,24.75,24.4375,24.5,31000
1998-02-03,8.446569442749023,24.5,24.75,24.5,24.625,18300
1998-02-04,8.403474807739258,24.375,24.5625,24.375,24.5625,29200
1998-02-05,8.446569442749023,24.5,24.625,24.375,24.375,10900
1998-02-06,8.446569442749023,24.5,24.5,24.125,24.5,129200
1998-02-09,8.381925582885742,24.3125,24.3125,23.9375,24.1875,101100
1998-02-10,8.489665985107422,24.625,24.625,24.3125,24.375,35000
1998-02-11,8.489665985107422,24.625,24.625,24.4375,24.625,40400
1998-02-12,8.446569442749023,24.5,24.625,24.3125,24.5,34500
1998-02-13,8.446569442749023,24.5,24.625,24.375,24.5625,73100
1998-02-17,8.554306030273438,24.8125,24.8125,24.5,24.625,110500
1998-02-18,8.317283630371094,24.125,24.6875,23.875,24.6875,85500
1998-02-19,8.274192810058594,24.0,24.25,24.0,24.25,7900
1998-02-20,8.33882999420166,24.1875,24.375,24.0,24.0,82700
1998-02-23,8.295740127563477,24.0625,24.25,24.0,24.125,26300
