Date,Adj Close,Close,High,Low,Open,Volume
1995-01-03,0.9388304948806763,1.515625,1.53125,1.453125,1.453125,3409600
1995-01-04,0.9485092163085938,1.53125,1.5625,1.5,1.53125,3902400
1995-01-05,0.9388304948806763,1.515625,1.5625,1.5,1.546875,3929600
1995-01-06,0.9291515350341797,1.5,1.546875,1.5,1.515625,5089600
1995-01-09,0.9001157283782959,1.453125,1.53125,1.4375,1.53125,4812800
1995-01-10,0.9001157283782959,1.453125,1.484375,1.390625,1.453125,11852800
1995-01-11,0.8855984210968018,1.4296879768371582,1.453125,1.40625,1.453125,6947200
1995-01-12,0.8710794448852539,1.40625,1.453125,1.40625,1.453125,5555200
1995-01-13,0.8130077719688416,1.3125,1.4375,1.3125,1.4375,25792000
1995-01-16,0.8565617799758911,1.3828129768371582,1.40625,1.28125,1.28125,21323200
1995-01-17,0.9388304948806763,1.515625,1.53125,1.40625,1.421875,25411200
1995-01-18,0.9485092163085938,1.53125,1.59375,1.53125,1.546875,9080000
1995-01-19,0.9291515350341797,1.5,1.546875,1.484375,1.546875,3177600
1995-01-20,0.9001157283782959,1.453125,1.515625,1.453125,1.515625,8027200
1995-01-23,0.9775450825691223,1.578125,1.578125,1.421875,1.453125,6177600
1995-01-24,1.0646528005599976,1.71875,1.765625,1.578125,1.609375,29518400
1995-01-25,1.045295238494873,1.6875,1.71875,1.59375,1.6875,12528000
1995-01-26,1.088849663734436,1.7578129768371582,1.78125,1.671875,1.671875,20572800
1995-01-27,1.1033676862716675,1.78125,1.8125,1.734375,1.78125,14942400
1995-01-30,1.045295238494873,1.6875,1.8125,1.65625,1.796875,7696000
1995-01-31,1.0259389877319336,1.65625,1.6875,1.609375,1.65625,13947200
1995-02-01,1.0549744367599487,1.703125,1.734375,1.640625,1.703125,9456000
1995-02-02,1.0646528005599976,1.71875,1.75,1.6875,1.71875,5310400
1995-02-03,1.084010124206543,1.75,1.859375,1.6875,1.734375,27675200
1995-02-06,1.084010124206543,1.75,1.765625,1.7265629768371582,1.734375,4425600
1995-02-07,1.088849663734436,1.7578129768371582,1.78125,1.734375,1.765625,3443200
1995-02-08,1.084010124206543,1.75,1.78125,1.71875,1.78125,3152000
1995-02-09,1.084010124206543,1.75,1.78125,1.71875,1.75,6134400
1995-02-10,1.09368896484375,1.765625,1.796875,1.734375,1.78125,8123200
1995-02-13,1.0646528005599976,1.71875,1.765625,1.703125,1.75,5817600
1995-02-14,1.0356169939041138,1.671875,1.75,1.625,1.71875,4832000
1995-02-15,1.0065804719924927,1.625,1.671875,1.59375,1.671875,5516800
1995-02-16,1.0162590742111206,1.640625,1.640625,1.59375,1.609375,5233600
1995-02-17,0.9872234463691711,1.59375,1.625,1.59375,1.625,1771200
1995-02-21,0.9920628666877747,1.6015629768371582,1.640625,1.578125,1.625,9019200
1995-02-22,1.0065804719924927,1.625,1.625,1.578125,1.609375,2606400
1995-02-23,1.09368896484375,1.765625,1.796875,1.5625,1.625,31785600
1995-02-24,1.09368896484375,1.765625,1.796875,1.71875,1.78125,17798400
1995-02-27,1.0743317604064941,1.734375,1.828125,1.734375,1.75,7857600
1995-02-28,1.13240385055542,1.828125,1.828125,1.75,1.765625,8392000
1995-03-01,1.09368896484375,1.765625,1.828125,1.765625,1.8125,7008000
1995-03-02,1.0743317604064941,1.734375,1.78125,1.71875,1.75,4264000
1995-03-03,1.13240385055542,1.828125,1.84375,1.703125,1.734375,6777600
1995-03-06,1.1033676862716675,1.78125,1.796875,1.734375,1.78125,4049600
1995-03-07,1.084010124206543,1.75,1.84375,1.75,1.796875,7532800
1995-03-08,1.0743317604064941,1.734375,1.78125,1.71875,1.78125,5118400
1995-03-09,1.1420824527740479,1.84375,1.859375,1.75,1.75,28252800
1995-03-10,1.1420824527740479,1.84375,1.859375,1.8125,1.84375,18523200
1995-03-13,1.1178858280181885,1.8046879768371582,1.84375,1.7421879768371582,1.828125,25846400
1995-03-14,1.2001538276672363,1.9375,1.9375,1.78125,1.828125,26476800
1995-03-15,1.214672327041626,1.9609379768371582,2.015625,1.859375,1.859375,27523200
1995-03-16,1.2388684749603271,2.0,2.015625,1.921875,1.9453129768371582,13324800
1995-03-17,1.267905354499817,2.046875,2.0625,2.0,2.0,11428800
1995-03-20,1.2485475540161133,2.015625,2.046875,2.0,2.046875,6819200
1995-03-21,1.2001538276672363,1.9375,2.0625,1.9375,2.03125,8918400
1995-03-22,1.2727445363998413,2.054687976837158,2.054687976837158,1.90625,1.9375,12816000
1995-03-23,1.325976848602295,2.140625,2.15625,2.046875,2.078125,26356800
1995-03-24,1.2582261562347412,2.03125,2.15625,2.0,2.125,13697600
1995-03-27,1.2775834798812866,2.0625,2.078125,1.9375,2.0,7739200
1995-03-28,1.3162983655929565,2.125,2.140625,2.046875,2.046875,10356800
1995-03-29,1.330816388130188,2.148437976837158,2.203125,2.109375,2.109375,20960000
1995-03-30,1.2824233770370483,2.070312976837158,2.1875,2.03125,2.171875,9950400
1995-03-31,1.267905354499817,2.046875,2.078125,2.015625,2.046875,6379200
1995-04-03,1.2316099405288696,1.988281011581421,2.0625,1.921875,2.0625,8878400
1995-04-04,1.1904752254486084,1.921875,1.984375,1.875,1.953125,19406400
1995-04-05,1.1517611742019653,1.859375,1.921875,1.828125,1.921875,21931200
1995-04-06,1.108207106590271,1.7890629768371582,1.917968988418579,1.75,1.859375,30089600
1995-04-07,1.1614395380020142,1.875,1.890625,1.765625,1.796875,16878400
1995-04-10,1.084010124206543,1.75,1.8671879768371582,1.7421879768371582,1.7890629768371582,27353600
1995-04-11,1.0162590742111206,1.640625,1.7734379768371582,1.6171879768371582,1.75,25363200
1995-04-12,1.045295238494873,1.6875,1.7421879768371582,1.609375,1.640625,17836800
1995-04-13,1.040455937385559,1.6796879768371582,1.7109379768371582,1.660156011581421,1.7109379768371582,6811200
1995-04-17,1.0356169939041138,1.671875,1.75,1.65625,1.671875,13267200
1995-04-18,0.9969021081924438,1.609375,1.703125,1.59375,1.6875,13137600
1995-04-19,0.9533485174179077,1.5390629768371582,1.609375,1.5078129768371582,1.609375,21593600
1995-04-20,1.0549744367599487,1.703125,1.7109379768371582,1.5546879768371582,1.5625,20209600
1995-04-21,1.0162590742111206,1.640625,1.734375,1.6171879768371582,1.71875,13518400
1995-04-24,0.9678666591644287,1.5625,1.6328129768371582,1.53125,1.6328129768371582,13396800
1995-04-25,0.9872234463691711,1.59375,1.625,1.5625,1.5703129768371582,9185600
1995-04-26,1.030777931213379,1.6640629768371582,1.6875,1.5859379768371582,1.6015629768371582,10348800
1995-04-27,1.0356169939041138,1.671875,1.6953129768371582,1.6484379768371582,1.6640629768371582,6963200
1995-04-28,1.0162590742111206,1.640625,1.671875,1.609375,1.671875,8088000
1995-05-01,0.9823843836784363,1.5859379768371582,1.640625,1.5859379768371582,1.6171879768371582,4782400
1995-05-02,0.9969021081924438,1.609375,1.625,1.5859379768371582,1.5859379768371582,4827200
