Date,Adj Close,Close,High,Low,Open,Volume
1995-09-18,9.46235466003418,13.25,13.25,13.25,13.25,1200
1995-09-19,9.551621437072754,13.375,13.375,13.375,13.375,12000
1995-09-20,9.730157852172852,13.625,13.625,13.625,13.625,7600
1995-09-21,9.819422721862793,13.75,13.75,13.75,13.75,43200
1995-09-22,9.194551467895508,12.875,12.875,12.875,12.875,49600
1995-09-25,9.640890121459961,13.5,13.5,13.5,13.5,7200
1995-09-26,9.99795913696289,14.0,14.0,14.0,14.0,8800
1995-09-27,9.99795913696289,14.0,14.0,14.0,14.0,0
1995-09-28,9.774791717529297,13.6875,13.6875,13.6875,13.6875,2800
1995-09-29,9.819422721862793,13.75,13.75,13.75,13.75,13600
1995-10-02,9.819422721862793,13.75,13.75,13.75,13.75,75600
1995-10-03,9.774791717529297,13.6875,13.6875,13.6875,13.6875,3600
1995-10-04,9.99795913696289,14.0,14.0,14.0,14.0,80400
1995-10-05,9.640890121459961,13.5,13.5,13.5,13.5,400
1995-10-06,9.46235466003418,13.25,13.25,13.25,13.25,1200
1995-10-09,9.551621437072754,13.375,13.375,13.375,13.375,4800
1995-10-10,8.971384048461914,12.5625,12.5625,12.5625,12.5625,10800
1995-10-11,9.060649871826172,12.6875,12.6875,12.6875,12.6875,2800
1995-10-12,9.194551467895508,12.875,12.875,12.875,12.875,2800
1995-10-13,9.640890121459961,13.5,13.5,13.5,13.5,16800
1995-10-16,9.551621437072754,13.375,13.375,13.375,13.375,3600
1995-10-17,9.640890121459961,13.5,13.5,13.5,13.5,101200
1995-10-18,8.748215675354004,12.25,12.25,12.25,12.25,465600
1995-10-19,8.837480545043945,12.375,12.375,12.375,12.375,22800
1995-10-20,8.837480545043945,12.375,12.375,12.375,12.375,10800
1995-10-23,8.703581809997559,12.1875,12.1875,12.1875,12.1875,5200
1995-10-24,8.748215675354004,12.25,12.25,12.25,12.25,6400
1995-10-25,9.01601791381836,12.625,12.625,12.625,12.625,5200
1995-10-26,8.837480545043945,12.375,12.375,12.375,12.375,30000
1995-10-27,8.569679260253906,12.0,12.0,12.0,12.0,25600
1995-10-30,9.01601791381836,12.625,12.625,12.625,12.625,2800
1995-10-31,9.23918628692627,12.9375,12.9375,12.9375,12.9375,22800
1995-11-01,9.105283737182617,12.75,12.75,12.75,12.75,7200
1995-11-02,9.105283737182617,12.75,12.75,12.75,12.75,98400
1995-11-03,9.283817291259766,13.0,13.0,13.0,13.0,68400
1995-11-06,9.41772174835205,13.1875,13.1875,13.1875,13.1875,10000
1995-11-07,9.640890121459961,13.5,13.5,13.5,13.5,4800
1995-11-08,9.663206100463867,13.53125,13.53125,13.53125,13.53125,2400
1995-11-09,9.551621437072754,13.375,13.375,13.375,13.375,22000
