Date,Adj Close,Close,High,Low,Open,Volume
1995-01-03,4.274510860443115,5.390625,5.625,5.375,5.625,6892800
1995-01-04,4.224952697753906,5.328125,5.46875,5.3125,5.390625,7276000
1995-01-05,4.237339019775391,5.34375,5.375,5.296875,5.328125,6524800
1995-01-06,4.237339019775391,5.34375,5.46875,5.296875,5.359375,12976000
1995-01-09,4.44796895980835,5.609375,5.65625,5.34375,5.34375,9991200
1995-01-10,4.534698963165283,5.71875,5.828125,5.640625,5.8125,9035200
1995-01-11,4.497527122497559,5.671875,5.828125,5.53125,5.8125,4856000
1995-01-12,4.373630046844482,5.515625,5.71875,5.4375,5.703125,4885600
1995-01-13,4.386019229888916,5.53125,5.5625,5.421875,5.5625,6985600
1995-01-16,4.361240386962891,5.5,5.578125,5.484375,5.5,5084800
1995-01-17,4.361240386962891,5.5,5.609375,5.484375,5.53125,6314400
1995-01-18,4.373630046844482,5.515625,5.578125,5.5,5.5625,5168000
1995-01-19,4.54709005355835,5.734375,5.734375,5.515625,5.53125,10840000
1995-01-20,4.534698963165283,5.71875,5.71875,5.59375,5.71875,4441600
1995-01-23,4.472749710083008,5.640625,5.671875,5.59375,5.625,3944000
1995-01-24,4.44796895980835,5.609375,5.640625,5.5625,5.625,3475200
1995-01-25,4.348850250244141,5.484375,5.578125,5.46875,5.578125,6011200
1995-01-26,4.348850250244141,5.484375,5.578125,5.4375,5.5,4840000
1995-01-27,4.361240386962891,5.5,5.53125,5.375,5.515625,5033600
1995-01-30,4.658596992492676,5.875,5.921875,5.5,5.5,10353600
1995-01-31,4.807276248931885,6.0625,6.09375,5.828125,5.875,13500800
1995-02-01,4.856836318969727,6.125,6.203125,6.0,6.0625,7759200
1995-02-02,4.732935428619385,5.96875,6.203125,5.9375,6.140625,5815200
1995-02-03,4.894006729125977,6.171875,6.234375,5.96875,5.96875,11893600
1995-02-06,4.9063944816589355,6.1875,6.234375,6.0625,6.21875,10712800
1995-02-07,4.844447135925293,6.109375,6.15625,6.046875,6.109375,3988800
1995-02-08,4.881616592407227,6.15625,6.171875,6.03125,6.046875,7611200
1995-02-09,4.757716178894043,6.0,6.140625,6.0,6.125,10384000
1995-02-10,4.794886112213135,6.046875,6.125,5.9375,6.046875,6481600
1995-02-13,4.732935428619385,5.96875,6.078125,5.953125,6.0625,1764800
1995-02-14,4.485138893127441,5.65625,5.8125,5.5625,5.5625,39053600
