Date,Adj Close,Close,High,Low,Open,Volume
1999-11-10,35.018585205078125,68.25,70.3125,64.5,65.0,80793700
1999-11-11,38.481964111328125,75.0,76.9375,68.75,68.75,28309000
1999-11-12,36.17304992675781,70.5,76.625,69.25,76.0,14768100
1999-11-15,35.40340805053711,69.0,70.875,67.3125,70.5,8675100
1999-11-16,33.86411666870117,66.0,68.0,65.0,67.875,6978600
1999-11-17,34.729984283447266,67.6875,68.1875,65.125,65.5625,5806900
1999-11-18,34.02446746826172,66.3125,68.9375,66.125,67.9375,4718700
1999-11-19,33.35102844238281,65.0,66.3125,64.25,66.3125,5091100
1999-11-22,32.388980865478516,63.125,64.25,61.0,64.0625,4785400
1999-11-23,33.96034240722656,66.1875,67.0,63.25,63.375,2832200
1999-11-24,34.88811111450195,67.6875,68.1875,65.9375,66.0,2179400
1999-11-26,35.62903594970703,69.125,69.4375,68.1875,68.4375,1322500
1999-11-29,35.11360549926758,68.125,70.25,67.0,70.0,1987000
1999-11-30,34.05052185058594,66.0625,67.625,66.0625,67.375,1686100
1999-12-01,33.95389938354492,65.875,67.375,65.625,66.25,1405700
1999-12-02,34.56596374511719,67.0625,67.0625,65.875,66.0,1391000
1999-12-03,34.243812561035156,66.4375,67.6875,66.3125,67.4375,1753500
1999-12-06,34.14716720581055,66.25,66.5,65.375,66.5,1398900
1999-12-07,35.049171447753906,68.0,68.0,65.875,65.9375,1793100
1999-12-08,35.24246597290039,68.375,68.375,66.75,68.0,1774000
1999-12-09,34.79145812988281,67.5,68.75,66.625,68.375,1713600
1999-12-10,34.082740783691406,66.125,67.0,65.375,66.375,1248600
1999-12-13,34.018310546875,66.0,66.9375,64.875,66.375,1417800
1999-12-14,33.50289535522461,65.0,66.0,64.75,66.0,1886600
1999-12-15,32.85859680175781,63.75,65.0625,63.6875,65.0,1602800
1999-12-16,32.98746871948242,64.0,64.0625,63.25,63.75,1364600
1999-12-17,34.34044647216797,66.625,67.625,64.6875,64.75,1980800
1999-12-20,35.30690002441406,68.5,68.5,66.9375,67.6875,1501300
1999-12-21,35.564605712890625,69.0,69.0,67.5,68.25,1265200
1999-12-22,34.53373336791992,67.0,68.9375,66.0625,68.9375,1264700
1999-12-23,34.920318603515625,67.75,67.875,65.625,66.5,1180600
1999-12-27,35.91896057128906,69.6875,69.6875,67.5,68.5,1478800
1999-12-28,35.564605712890625,69.0,69.6875,68.0625,69.5,1051400
1999-12-29,35.049171447753906,68.0,69.375,67.5625,69.0,904700
1999-12-30,35.049171447753906,68.0,69.5,68.0,69.25,926700
1999-12-31,35.564605712890625,69.0,69.5,68.375,68.875,649300
2000-01-03,34.56596374511719,67.0625,69.75,67.0,69.6875,1273200
2000-01-04,33.47068786621094,64.9375,67.0,64.625,67.0,1385800
2000-01-05,35.049171447753906,68.0,68.0,64.75,64.875,1401700
2000-01-06,35.049171447753906,68.0,68.125,65.0,65.875,1959100
2000-01-07,34.211612701416016,66.375,67.625,65.75,67.625,996000
2000-01-10,34.56596374511719,67.0625,67.4375,66.4375,66.875,1191700
2000-01-11,33.63174819946289,65.25,67.4375,65.25,67.125,1020000
2000-01-12,34.727027893066406,67.375,67.5,65.4375,66.125,1097700
2000-01-13,35.21025466918945,68.3125,68.5,67.375,67.625,1071200
2000-01-14,35.59682083129883,69.0625,69.25,68.3125,68.875,1160000
2000-01-18,35.40351486206055,68.6875,69.0,67.375,69.0,980500
2000-01-19,35.178035736083984,68.25,68.5625,67.4375,68.5,1087300
2000-01-20,35.50017547607422,68.875,69.125,68.125,68.125,1972000
2000-01-21,34.66261672973633,67.25,68.875,66.6875,68.875,1270100
2000-01-24,34.018310546875,66.0,68.25,66.0,67.875,831400
2000-01-25,33.95389938354492,65.875,66.625,64.75,65.625,1263000
2000-01-26,33.567325592041016,65.125,65.625,64.5,65.25,933400
2000-01-27,33.567325592041016,65.125,65.375,64.0,65.3125,1128400
2000-01-28,33.47068786621094,64.9375,65.875,64.0,65.125,1324700
2000-01-31,30.925756454467773,60.0,64.0,59.0,63.0,5745800
2000-02-01,31.63447380065918,61.375,61.5,58.3125,59.6875,4761000
2000-02-02,30.02375602722168,58.25,59.9375,57.1875,59.75,4740600
2000-02-03,29.70159912109375,57.625,59.5,57.375,59.25,1951900
2000-02-04,29.05730438232422,56.375,58.1875,56.0625,58.1875,1745200
2000-02-07,28.73516845703125,55.75,56.8125,55.5,56.625,1480200
2000-02-08,30.60359001159668,59.375,59.375,55.75,56.25,2055100
2000-02-09,29.8948917388916,58.0,59.625,58.0,59.5,1209400
2000-02-10,29.41167640686035,57.0625,58.5,56.5,58.0625,995700
2000-02-11,28.413034439086914,55.125,57.0,55.125,56.8125,1013900
2000-02-14,28.026460647583008,54.375,55.5,54.125,55.3125,2052800
2000-02-15,28.31639289855957,54.9375,55.0,53.5625,54.4375,1182900
2000-02-16,28.864030838012695,56.0,56.4375,54.5,55.1875,1530000
2000-02-17,29.8948917388916,58.0,58.25,56.125,56.5,1036000
2000-02-18,29.34723663330078,56.9375,59.4375,55.25,58.0,1529200
2000-02-22,28.348602294921875,55.0,56.9375,54.5625,56.9375,1226000
2000-02-23,28.31639289855957,54.9375,56.25,54.0625,55.0625,855700
2000-02-24,27.951889038085938,54.0625,55.0,53.8125,55.0,1049300
2000-02-25,28.69510841369629,55.5,55.75,54.0625,54.9375,961700
2000-02-28,28.43659782409668,55.0,55.625,54.5,55.5625,565600
2000-02-29,28.242706298828125,54.625,55.3125,54.5,55.0,750900
2000-03-01,27.144018173217773,52.5,54.6875,51.875,54.625,1471000
2000-03-02,27.564109802246094,53.3125,53.625,52.0625,52.125,1136600
2000-03-03,27.240968704223633,52.6875,53.5,52.5625,53.3125,1030700
2000-03-06,27.273283004760742,52.75,54.375,52.5,54.375,1431500
2000-03-07,26.174591064453125,50.625,52.8125,49.0,52.75,2319100
2000-03-08,28.081130981445312,54.3125,54.5,51.3125,52.75,2275300
2000-03-09,27.40253448486328,53.0,54.5,52.4375,54.5,1199700
2000-03-10,27.628726959228516,53.4375,54.375,53.0625,53.75,776700
2000-03-13,27.273283004760742,52.75,54.1875,52.125,52.25,671700
2000-03-14,27.176334381103516,52.5625,53.5,52.3125,52.5,1072500
2000-03-15,28.404285430908203,54.9375,55.375,51.625,52.9375,2274800
2000-03-16,29.0828857421875,56.25,57.625,55.0625,55.875,1635300
2000-03-17,28.69510841369629,55.5,57.0625,55.5,57.0625,622400
2000-03-20,29.244455337524414,56.5625,56.875,55.25,56.5,843400
2000-03-21,30.084617614746094,58.1875,58.375,55.25,56.3125,889000
2000-03-22,29.40601921081543,56.875,59.0625,56.8125,58.1875,763100
2000-03-23,30.82784652709961,59.625,59.9375,56.0,56.8125,1472900
2000-03-24,32.9605827331543,63.75,64.125,59.8125,60.0,2148200
2000-03-27,32.669761657714844,63.1875,64.0,62.625,63.0,960400
2000-03-28,31.150999069213867,60.25,63.0,60.0625,62.5,639300
2000-03-29,30.537017822265625,59.0625,61.25,58.3125,61.25,869700
2000-03-30,30.278507232666016,58.5625,60.125,58.3125,58.8125,682400
2000-03-31,32.56474685668945,62.984375,63.0,58.1875,59.5625,727100
2000-04-03,30.698591232299805,59.375,62.0,59.0,62.0,830000
2000-04-04,29.890737533569336,57.8125,59.75,55.375,59.375,1309000
2000-04-05,30.084617614746094,58.1875,58.25,56.8125,56.8125,478000
2000-04-06,30.95711898803711,59.875,60.1875,58.3125,58.3125,800700
2000-04-07,31.474151611328125,60.875,61.4375,59.125,59.875,778200
2000-04-10,33.0898551940918,64.0,64.0,61.0,61.125,1275600
2000-04-11,32.669761657714844,63.1875,63.3125,62.125,63.3125,616700
2000-04-12,31.797300338745117,61.5,62.875,61.25,62.8125,608700
2000-04-13,31.150999069213867,60.25,61.5,59.4375,61.5,566300
2000-04-14,28.43659782409668,55.0,58.75,55.0,58.5,859800
2000-04-17,29.987682342529297,58.0,59.5,55.0,57.0,1152900
2000-04-18,31.37718963623047,60.6875,61.1875,58.0,58.0,714900
2000-04-19,30.537017822265625,59.0625,60.5,58.75,60.1875,510200
2000-04-20,32.83134460449219,63.5,63.875,60.625,61.0,1730600
2000-04-24,32.378936767578125,62.625,63.25,62.0,63.0,1071000
2000-04-25,34.3501091003418,66.4375,66.4375,63.8125,64.3125,1644600
2000-04-26,34.22086715698242,66.1875,66.9375,64.9375,66.5,1239300
2000-04-27,34.09160614013672,65.9375,66.5625,65.1875,65.5,689400
2000-04-28,34.38243103027344,66.5,66.75,65.5,66.6875,1011200
2000-05-01,33.21912384033203,64.25,66.9375,64.25,66.625,904600
2000-05-02,32.992919921875,63.8125,64.4375,63.25,64.0625,1565300
2000-05-03,32.24968719482422,62.375,64.0625,62.3125,64.0625,566400
2000-05-04,31.506450653076172,60.9375,62.125,60.0,62.125,669000
2000-05-05,30.95711898803711,59.875,60.875,59.0,59.75,834300
2000-05-08,31.571081161499023,61.0625,61.75,58.3125,59.0,1726400
2000-05-09,32.314308166503906,62.5,63.375,60.8125,61.5,859200
2000-05-10,31.441823959350586,60.8125,62.375,60.625,62.0,880400
2000-05-11,31.66801643371582,61.25,61.6875,60.875,60.875,934200
2000-05-12,31.82959747314453,61.5625,62.625,61.375,61.5,603600
2000-05-15,32.73439407348633,63.3125,64.0,60.6875,61.5625,1110200
2000-05-16,32.0557861328125,62.0,64.0,61.875,64.0,526500
2000-05-17,32.217369079589844,62.3125,62.875,61.1875,61.75,466300
2000-05-18,32.12042236328125,62.125,62.25,61.375,62.25,626500
2000-05-19,31.99117660522461,61.875,62.1875,60.5,61.875,754800
2000-05-22,31.764968872070312,61.4375,61.875,59.875,61.625,701700
2000-05-23,31.99117660522461,61.875,62.25,61.125,61.1875,669500
2000-05-24,30.82784652709961,59.625,61.375,59.125,61.0,592700
2000-05-25,30.527132034301758,58.875,60.25,58.0,59.4375,795300
2000-05-26,29.652130126953125,57.1875,59.3125,56.75,59.0,1003100
2000-05-30,30.624343872070312,59.0625,59.3125,57.0,57.0,602100
2000-05-31,31.045616149902344,59.875,60.9375,59.625,59.9375,794000
2000-06-01,31.888198852539062,61.5,62.0625,60.625,60.8125,1261000
2000-06-02,31.62894630432129,61.0,62.4375,60.9375,62.1875,745100
2000-06-05,31.920610427856445,61.5625,62.5,60.8125,60.875,812100
2000-06-06,32.01782989501953,61.75,61.875,60.75,61.5625,585000
2000-06-07,32.179866790771484,62.0625,62.1875,61.4375,61.75,729800
2000-06-08,31.240066528320312,60.25,62.125,60.25,62.0,606300
2000-06-09,30.75395393371582,59.3125,60.25,59.3125,60.25,505500
2000-06-12,30.77017593383789,59.34375,59.875,57.5,59.0,1105100
2000-06-13,31.790969848632812,61.3125,62.0625,59.25,59.5,958400
2000-06-14,31.758573532104492,61.25,61.875,60.875,61.1875,898600
2000-06-15,32.341888427734375,62.375,62.5,61.4375,61.5,1076100
2000-06-16,32.01782989501953,61.75,62.75,61.375,62.4375,721300
2000-06-19,32.21226501464844,62.125,62.1875,60.25,61.75,1019300
2000-06-20,31.855802536010742,61.4375,62.0,60.875,61.875,630200
2000-06-21,32.01782989501953,61.75,61.8125,60.5625,60.9375,627200
2000-06-22,32.633548736572266,62.9375,62.9375,61.25,61.5625,1331900
2000-06-23,31.855802536010742,61.4375,62.8125,61.3125,62.8125,672500
2000-06-26,31.499319076538086,60.75,61.0,60.3125,60.75,596300
2000-06-27,31.17525291442871,60.125,60.9375,59.625,60.75,1001700
2000-06-28,30.915987014770508,59.625,60.8125,59.5625,60.1875,754100
2000-06-29,31.240066528320312,60.25,60.3125,58.625,59.625,1002300
2000-06-30,30.543319702148438,58.90625,62.0,58.90625,60.3125,1990200
2000-07-03,30.818784713745117,59.4375,59.875,59.3125,59.5,375000
2000-07-05,31.62894630432129,61.0,61.3125,59.5,59.625,829500
2000-07-06,31.790969848632812,61.3125,61.4375,61.0,61.0,570100
2000-07-07,31.466915130615234,60.6875,61.0,60.125,60.375,733000
2000-07-10,31.62894630432129,61.0,61.0625,59.875,60.0,596000
2000-07-11,31.531734466552734,60.8125,60.9375,60.3125,60.3125,469800
2000-07-12,31.466915130615234,60.6875,61.0625,60.1875,60.5,613300
2000-07-13,31.272451400756836,60.3125,60.75,60.0625,60.5625,631200
2000-07-14,31.56413459777832,60.875,61.0,60.4375,60.6875,678100
2000-07-17,31.337303161621094,60.4375,61.375,60.0625,60.9375,944800
2000-07-18,31.499319076538086,60.75,60.875,60.1875,60.1875,565500
2000-07-19,31.758573532104492,61.25,61.5,60.625,60.75,1013500
2000-07-20,30.883586883544922,59.5625,60.9375,59.1875,60.875,1154700
2000-07-21,30.851184844970703,59.5,60.0,59.0,59.3125,1013100
2000-07-24,30.591920852661133,59.0,59.5,58.5,58.75,930800
2000-07-25,30.429887771606445,58.6875,59.0625,58.5625,58.5625,572700
2000-07-26,30.138242721557617,58.125,58.6875,57.5625,58.625,868000
2000-07-27,30.138242721557617,58.125,58.6875,57.5,58.0,508100
2000-07-28,29.749345779418945,57.375,58.875,57.25,58.6875,468600
2000-07-31,30.462299346923828,58.75,58.75,57.25,57.375,644900
2000-08-01,30.23544692993164,58.3125,58.5625,57.875,58.5625,365400
2000-08-02,30.170635223388672,58.1875,58.5,57.75,58.375,314000
2000-08-03,30.041011810302734,57.9375,58.5,57.3125,57.625,447800
2000-08-04,29.911399841308594,57.6875,58.0,57.4375,57.4375,339500
2000-08-07,29.749345779418945,57.375,57.9375,57.25,57.8125,507300
2000-08-08,29.490100860595703,56.875,57.25,56.6875,57.125,637200
2000-08-09,28.90679359436035,55.75,57.0,55.6875,56.875,705200
2000-08-10,30.33268165588379,58.5,58.75,54.875,55.4375,2150100
2000-08-11,30.591920852661133,59.0,59.0,57.75,58.0,734100
2000-08-14,30.397489547729492,58.625,59.0625,58.5,58.75,990300
2000-08-15,30.008596420288086,57.875,58.5,57.5625,58.375,756500
2000-08-16,29.716960906982422,57.3125,58.0,57.25,57.625,487600
2000-08-17,29.42528533935547,56.75,57.4375,56.75,57.3125,718500
2000-08-18,29.13363265991211,56.1875,57.0,55.8125,56.75,736100
2000-08-21,28.939197540283203,55.8125,56.8125,55.75,56.25,590800
2000-08-22,29.166040420532227,56.25,56.375,55.75,55.8125,789700
2000-08-23,28.90679359436035,55.75,56.25,55.6875,56.0,710800
2000-08-24,29.352760314941406,56.4375,56.8125,55.5625,55.5625,678600
2000-08-25,29.970375061035156,57.625,57.9375,56.4375,56.4375,815400
2000-08-28,29.515287399291992,56.75,57.75,56.75,57.625,975400
2000-08-29,29.255247116088867,56.25,56.9375,56.0,56.5,543500
2000-08-30,28.67015266418457,55.125,55.8125,55.0,55.25,849500
2000-08-31,28.832674026489258,55.4375,56.125,55.25,55.4375,673000
2000-09-01,29.060209274291992,55.875,56.1875,55.375,55.625,869000
2000-09-05,28.897687911987305,55.5625,56.1875,55.125,55.25,735800
2000-09-06,29.02770233154297,55.8125,56.0,54.75,55.3125,1159900
2000-09-07,28.37758445739746,54.5625,55.75,54.25,55.125,1080200
2000-09-08,27.727466583251953,53.3125,54.5,53.125,54.4375,981700
2000-09-11,27.239887237548828,52.375,53.6875,51.875,53.5625,1184200
2000-09-12,27.857507705688477,53.5625,53.9375,52.5,52.9375,747900
2000-09-13,28.605131149291992,55.0,56.25,53.75,53.75,2352100
2000-09-14,28.832674026489258,55.4375,56.625,55.1875,56.5,1018700
2000-09-15,28.800168991088867,55.375,55.9375,55.0625,55.5,571400
2000-09-18,27.564945220947266,53.0,55.125,52.75,55.0625,938200
2000-09-19,27.304899215698242,52.5,52.6875,52.0,52.375,1429600
2000-09-20,28.085039138793945,54.0,54.1875,52.5,52.5,1792900
2000-09-21,28.735151290893555,55.25,56.5,55.25,55.5,4193000
2000-09-22,29.125221252441406,56.0,56.1875,55.0625,55.5,1909700
2000-09-25,29.515287399291992,56.75,57.0,56.3125,56.4375,1227000
2000-09-26,29.612817764282227,56.9375,57.25,56.5,56.875,1777500
2000-09-27,29.45026969909668,56.625,56.8125,56.5,56.8125,785100
2000-09-28,29.80784797668457,57.3125,57.5625,56.5,56.5,1712800
2000-09-29,29.320270538330078,56.375,56.75,55.25,56.3125,1004800
2000-10-02,29.4827880859375,56.6875,56.875,55.875,56.0,694100
2000-10-03,29.45026969909668,56.625,57.25,56.5,56.625,575700
2000-10-04,30.555482864379883,58.75,59.8125,56.5,56.625,2134700
2000-10-05,30.425451278686523,58.5,59.1875,58.25,59.0,1271500
2000-10-06,30.19791030883789,58.0625,58.875,57.8125,58.375,531300
2000-10-09,29.580305099487305,56.875,58.375,56.5625,58.3125,549900
2000-10-10,30.62049674987793,58.875,59.375,56.625,56.875,1053300
2000-10-11,29.905378341674805,57.5,59.0,57.375,59.0,856500
2000-10-12,28.475101470947266,54.75,57.1875,54.75,57.0,902100
2000-10-13,29.45026969909668,56.625,57.0,54.5625,54.8125,930400
2000-10-16,29.09272003173828,55.9375,56.5,55.625,56.5,474200
2000-10-17,28.67015266418457,55.125,55.9375,54.9375,55.8125,924900
2000-10-18,27.59745216369629,53.0625,54.0,51.25,52.5,3462100
2000-10-19,31.205596923828125,60.0,61.0,57.3125,57.75,3883400
2000-10-20,32.24577713012695,62.0,62.1875,59.625,59.9375,1827500
2000-10-23,31.628173828125,60.8125,61.625,60.75,61.4375,1449700
2000-10-24,31.0755558013916,59.75,59.9375,59.4375,59.5,1838300
2000-10-25,31.010562896728516,59.625,59.9375,59.25,59.875,1044100
2000-10-26,31.0755558013916,59.75,59.75,58.75,59.1875,697600
2000-10-27,30.848012924194336,59.3125,59.875,59.1875,59.75,380800
2000-10-30,31.79070472717285,61.125,61.375,58.5,59.0,1395000
2000-10-31,31.595670700073242,60.75,61.9375,60.0625,61.875,812600
2000-11-01,31.010562896728516,59.625,60.6875,59.5,60.625,568000
2000-11-02,31.920724868774414,61.375,61.5,58.0,59.5,1145800
2000-11-03,31.498153686523438,60.5625,61.0625,59.75,60.5,1713400
2000-11-06,31.205596923828125,60.0,60.4375,59.375,60.4375,811600
2000-11-07,31.173097610473633,59.9375,60.625,59.5,60.0,757600
2000-11-08,31.0755558013916,59.75,60.125,59.375,60.0,523000
2000-11-09,30.490482330322266,58.625,59.875,58.5,59.375,574400
2000-11-10,30.327917098999023,58.3125,59.125,58.1875,58.375,638500
2000-11-13,30.68549919128418,59.0,60.0,57.75,57.75,723800
2000-11-14,31.0755558013916,59.75,59.9375,58.25,58.25,865100
2000-11-15,30.68549919128418,59.0,59.5,58.375,58.75,847000
2000-11-16,30.39295196533203,58.4375,58.8125,58.25,58.5,593300
2000-11-17,30.815532684326172,59.25,59.5,58.0,58.5,687000
2000-11-20,30.848012924194336,59.3125,59.75,58.9375,59.0,663300
2000-11-21,31.36811637878418,60.3125,61.125,58.5625,58.75,2427500
2000-11-22,31.391592025756836,60.1875,60.1875,59.625,60.1875,1026000
2000-11-24,31.750179290771484,60.875,60.9375,60.0,60.0,520100
2000-11-27,31.880558013916016,61.125,61.4375,60.5625,60.875,1140000
