Commodity,Strategy,Final Portfolio Value
BTC-USD,BuyHold,885700.8895263672
ETH-USD,BuyHold,71113.22763061523
BNB-USD,BuyHold,1765089.247534871
XRP-USD,BuyHold,30141.84320628643
ADA-USD,BuyHold,222055.2920274064
SOL-USD,BuyHold,1070799.8436901567
DOGE-USD,BuyHold,775279.4413631199
DOT-USD,BuyHold,28874.144760131836
LTC-USD,BuyHold,171023.82205581665
AVAX-USD,BuyHold,78988.228328228
MATIC-USD,BuyHold,2155823.756784086
UNI-USD,BuyHold,279.16853786725187
ATOM-USD,BuyHold,14616.246231079098
FTM-USD,BuyHold,209507.21336327496
BTC-USD,BolingerBandStrategy,1335788.8798980713
BTC-USD,BBandMacdStrategy,1284585.7219696045
ETH-USD,BolingerBandStrategy,81575.57093048096
ETH-USD,BBandMacdStrategy,70598.52655029297
BNB-USD,BolingerBandStrategy,2548317.6634680033
BNB-USD,BBandMacdStrategy,1780956.872951031
XRP-USD,BolingerBandStrategy,37033.25852970777
XRP-USD,BBandMacdStrategy,11822.382147639984
ADA-USD,BolingerBandStrategy,597245.2161069103
ADA-USD,BBandMacdStrategy,325517.6793891565
SOL-USD,BolingerBandStrategy,6336953.664551257
SOL-USD,BBandMacdStrategy,5640214.922795295
DOGE-USD,BolingerBandStrategy,176889.71902268392
DOGE-USD,BBandMacdStrategy,402955.288620441
DOT-USD,BolingerBandStrategy,37312.87520647049
DOT-USD,BBandMacdStrategy,55798.43187332153
LTC-USD,BolingerBandStrategy,788188.7282054427
LTC-USD,BBandMacdStrategy,728728.1795778277
AVAX-USD,BolingerBandStrategy,350152.4126820564
AVAX-USD,BBandMacdStrategy,481740.97316122055
MATIC-USD,BolingerBandStrategy,187710.06208985572
MATIC-USD,BBandMacdStrategy,160291.53424453636
UNI-USD,BolingerBandStrategy,95.33510847141923
UNI-USD,BBandMacdStrategy,0.36748736450804953
ATOM-USD,BolingerBandStrategy,35466.72917962074
ATOM-USD,BBandMacdStrategy,19825.095381736755
FTM-USD,BolingerBandStrategy,4785845.112520231
FTM-USD,BBandMacdStrategy,5389275.663622959
